id,Followers,BC,FO,UF
ymc97446404,0,0,0,0
wonsoonpark,2471951,0,0,0
cxszvcvomdidagz,2,0,0,1
kaigerstien,149,0,0,0
ohdrian,127,0,0,0
asynctaskjs,21,0,0,0
tengerine333,34,0,0,0
ohy3,932,0,0,0
kimyoungoh0416,101726,1,1,0
notover_start,29,0,0,0
joshua7712,211,0,0,0
hosino816,257,0,0,1
sulchihan,34,0,0,0
namhj_0503,31,0,0,0
nocturnal12_12,433,0,0,0
snowk2d,33,0,0,0
aa_77849,13,0,0,1
22kkim,6486,0,0,0
crabiswell,26,0,0,0
heotal,10,0,0,0
leefemc,423,0,0,0
toto8688,8996,0,0,0
miso_sarang,80183,0,1,0
pattyy0098,20070,0,0,0
citywing447,745,0,0,0
ssang8888,2395,0,0,0
hoya2700,6417,0,0,0
saramimeonjeoda,57197,0,1,0
skymanhan,9846,0,0,0
walking_his_dog,15123,0,0,0
ljs_moon,38853,0,0,0
leesj0341,7878,0,0,0
monoka21,255,0,0,0
bumjin_choi,5,0,0,0
domuchan,80,0,0,1
gemboys75,9,0,0,0
kimmunbae0818k,50,0,0,0
kahmefreud,410,0,0,0
kiss78761,1360,0,0,0
nejokupdgw0poou,25,0,0,0
hanaro20000,5954,0,0,0
hfvnpdzxgwixdmv,89,0,0,0
nhjkjs,2009,0,0,0
cjduwvwop82cvsa,976,0,0,0
change_lane,1240,0,0,0
ja531900,3,0,0,0
jisumom7472,745,0,0,0
k000042,3965,0,0,0
wonderwall0326,7,0,0,0
wwww764ppekzt5n,132,0,0,0
gwjh2,53,0,0,1
gingerfield,91,0,0,1
desperado2088,903,0,0,0
tica7088,92,0,0,0
ngo8518,8670,0,0,0
6ac8fcc77aa7451,154,0,0,1
ace27568,1689,0,0,0
tvxqandjyj1226,25,0,0,0
kim97195512,37,0,0,0
openeyesmom,244,0,0,0
candys6613,67,0,0,0
l1215711,33,0,0,0
1jin0114,341,0,0,0
pelvis4168,2138,0,0,0
kmijn1,634,0,0,0
vzuoszwc0n2s2wt,164,0,0,0
kyd1214,424,0,0,0
ilpxmwdgma9uahj,68,0,0,1
parabol7986,80,0,0,0
xg0071,146,0,0,0
jsy8104,1894,0,0,0
yshappy1yshappy,12617,0,0,0
dondadora0,30191,0,0,0
imjohnpd,3389,0,0,0
soonhearim,48698,1,1,0
skc11122,4373,0,0,0
insigi,237,0,0,0
moo153,365,0,0,0
happypbs,806,0,0,0
como3535,7609,0,0,0
yjs5415,3179,0,0,0
negotiatorm,54707,1,1,0
lesmy2017,7405,0,0,0
theminjoofact,5029,0,0,0
jasmine_vanbeat,11400,0,0,0
lhwang57,1285,0,0,0
poi87871,2508,0,0,0
kimmogon,3282,0,0,0
10dak7time,5551,0,0,0
i1feel,886,0,0,0
