Name,No,Date(UTC),Date(Ko),no_month,Year,Month,YM,Date,Day,Day_num,Time,Minute,Second,URL,Tags,Image,Link,Reply,Retweet,Favorite,Lang,Retweeted,Page
wonsoonpark,1,2017-06-01 15:31,2017-06-02,1 ,2017 ,6 ,201706 ,2 ,금,6 ,12 ,31 ,11 ,1 ,0 ,0 ,1 ,0 ,0 ,910,ko,702,https://twitter.com/wonsoonpark/status/870301707925831684
wonsoonpark,2,2017-06-01 21:58,2017-06-02,,2017 ,6 ,201706 ,2 ,금,6 ,6 ,58 ,13 ,1 ,0 ,0 ,1 ,0 ,0 ,2100,ko,1934,https://twitter.com/wonsoonpark/status/870399108430745600
wonsoonpark,3,2017-06-05 9:41,2017-06-05,,2017 ,6 ,201706 ,5 ,월,2 ,18 ,41 ,47 ,0 ,0 ,1 ,0 ,0 ,0 ,386,ko,797,https://twitter.com/wonsoonpark/status/871663332385628162
wonsoonpark,4,2017-06-07 5:39,2017-06-07,,2017 ,6 ,201706 ,7 ,수,4 ,14 ,39 ,45 ,1 ,0 ,0 ,1 ,0 ,0 ,708,ko,689,https://twitter.com/wonsoonpark/status/872327195905204224
wonsoonpark,5,2017-06-07 23:29,2017-06-08,,2017 ,6 ,201706 ,8 ,목,5 ,8 ,29 ,59 ,0 ,0 ,1 ,0 ,0 ,0 ,515,ko,284,https://twitter.com/wonsoonpark/status/872596528644317188
wonsoonpark,6,2017-06-16 9:12,2017-06-16,,2017 ,6 ,201706 ,16 ,금,6 ,18 ,12 ,23 ,0 ,0 ,0 ,1 ,0 ,0 ,177,ko,83,https://twitter.com/wonsoonpark/status/875642197403615235
wonsoonpark,7,2017-06-16 10:11,2017-06-16,,2017 ,6 ,201706 ,16 ,금,6 ,19 ,11 ,51 ,0 ,0 ,0 ,1 ,0 ,0 ,179,ko,81,https://twitter.com/wonsoonpark/status/875657164823568385
wonsoonpark,8,2017-06-17 5:06,2017-06-17,,2017 ,6 ,201706 ,17 ,토,7 ,14 ,6 ,51 ,0 ,0 ,0 ,1 ,0 ,0 ,122,ko,56,https://twitter.com/wonsoonpark/status/875942794665148418
wonsoonpark,9,2017-06-17 6:01,2017-06-17,,2017 ,6 ,201706 ,17 ,토,7 ,15 ,1 ,51 ,0 ,0 ,0 ,1 ,0 ,0 ,107,ko,74,https://twitter.com/wonsoonpark/status/875956636149403650
wonsoonpark,10,2017-06-17 7:01,2017-06-17,,2017 ,6 ,201706 ,17 ,토,7 ,16 ,1 ,50 ,0 ,0 ,0 ,1 ,0 ,0 ,105,ko,53,https://twitter.com/wonsoonpark/status/875971731994755072
