id,Followers,BC,FO,UF
jaemyung_lee,582615,0,0,0
korea486,102278,0,1,0
sjhoo9000,67922,0,1,0
seang333sea,61870,0,1,0
maxbuz2018,43713,0,1,0
nicesaju,43606,0,1,0
complex_var,32077,0,0,0
pilot_blue_ink,24426,0,0,0
news2health,22321,1,0,0
tkadnjs4770,19147,0,0,0
kildong66,17592,0,0,0
rkdmf1876,16706,0,0,0
hoodman55,16622,0,0,0
degiltaxi,16340,0,0,0
gcsk9787,15848,0,0,0
xoom9000,15709,0,0,0
pacprincess82,15593,0,0,0
2mbchifanlema,15333,0,0,0
sswsong,12705,0,0,0
dikeseye,12506,0,0,0
amen061,10755,0,0,0
cjpcj,10314,0,0,0
dud6175,8857,0,0,0
oh276,7730,0,0,0
jgyang1127,7559,0,0,0
snangel79,7133,0,0,0
corea_19190411,6333,0,0,0
sf2forever,6158,0,0,0
gugu9981,6035,0,0,0
hanaro20000,5967,0,0,0
sherpa80,5816,0,0,0
lovepoet58,5603,0,0,0
10dak7time,5546,0,0,0
glium,5210,0,0,0
jaemes01,4919,0,0,0
bum2020,4809,0,0,0
sanha9008,4545,0,0,0
jis410,4309,0,0,0
methis4u,4266,0,0,0
jiyun1098,4238,0,0,1
earn75e,4213,0,0,0
man0403,4138,0,0,0
whk4784,4054,0,0,0
sudoja71,4031,0,0,0
geheimnispol,3798,0,0,0
joyounga1,3735,0,0,0
seolhee5288,3682,0,0,0
omaha_nite,3606,0,0,0
torque0425,3576,0,0,0
loxoxl,3552,0,0,0
phsnhk,3496,0,0,0
minimal2013,3381,0,0,0
agallocha1,3377,0,0,0
phj24891,3360,0,0,0
nojjangfyah,3220,0,0,0
lhy6507,3168,0,0,0
alicemanse,2819,0,0,0
starbox107,2777,0,0,0
piafindit,2706,0,0,0
dongil_s,2625,0,0,0
bkgomusin,2588,0,0,0
coldshin,2556,0,0,0
poi87871,2522,0,0,0
_mylord_dksdptj,2501,0,0,0
lee_21c,2478,0,0,0
csungja,2476,0,0,0
zpo4v0qgv8gu3rb,2371,0,0,0
nk9019,2362,0,0,0
gwaenchana_u,2360,0,0,0
eunibigbang,2350,0,0,0
choi5212083511,2126,0,0,0
lst84,2015,0,0,0
lwk0013,1959,0,0,0
pgg4dphrfifxkfr,1937,0,0,0
hawk1658,1929,0,0,0
oeyq0subz7pwvcy,1914,0,0,0
jangho25,1852,0,0,0
winfree9,1832,0,0,0
bspae,1810,0,0,0
pachino5316,1802,0,0,0
poeamne5yalsshn,1795,0,0,0
violet1004hee,1771,0,0,0
kwanghoony,1760,0,0,0
ueda53402189,1744,0,0,0
angarinda,1737,0,0,0
wangnun2arom2,1730,0,0,0
jeju_kch,1690,0,0,0
openarms0707,1686,0,0,0
yjlee68,1676,0,0,0
kenshinjin,1626,0,0,0
ybclarn,1603,0,0,0
ryh0523,1558,0,0,0
gucu889,1515,0,0,0
redsoxgo,1491,0,0,0
ryongjin,1456,0,0,0
r_u_o_k_a_y,1421,0,0,0
jang1073,1417,0,0,0
clgcrachel,1403,0,0,0
y6smet0jkbaax0w,1371,0,0,0
ddrtth,1338,0,0,0
stroby2002,1330,0,0,0
togonewsun,1322,0,0,0
kimpeter69,1315,0,0,0
norehadasing,1269,0,0,0
